System,intermediate,dEads_eV
CuO,COOH,1.1004865837097166
CuO,CO,1.2376138305664064
CuO,CHO,1.0556895256042482
CuO,CH2O,0.5504522323608398
CuO,CH3O,0.8102930641174317
AgO,COOH,1.2942187614440916
AgO,CO,1.4217940063476564
AgO,CHO,1.2341018791198732
AgO,CH2O,0.48966780853271485
AgO,CH3O,0.9258697242736817
