System,E_slab (eV),U_L (V),PDS,ΔEads(*CO) (eV),ΔEads(*COOH) (eV),E_CB (V NHE),E_VB (V NHE),Eg (eV),Ea_PDS (eV),Sel: *COOH vs *OCHO
Gr/AgO,-408.07277012858157,-2.237,*CO+H2O,0.608,-1.874,0.440,2.140,1.70,"[np.float64(0.04139906373617448), np.float64(2.975021976492068), np.float64(0.23526562733071033), np.float64(0.09281675701406082), np.float64(0.4929472122901126), np.float64(0.18004856598200877)]",*COOH
Gr/CuO,-439.98140614618234,-2.216,*CO+H2O,0.821,-1.640,0.110,2.510,2.40,"[np.float64(0.004656700419140058), np.float64(2.9330170894817265), np.float64(0.3765783336007573), np.float64(0.010793782620540366), np.float64(0.5050992360631136), np.float64(0.2340459716821723)]",*COOH
