System,Bond,mean (Å),min (Å),max (Å),N_bonds
Gr/AgO,Ag–O,2.065214234590892,2.0425044437811244,2.107946687390848,48
Gr/AgO,C–C,1.4238896881398526,1.4118585455274089,1.4308813583779083,45
Gr/CuO,Cu–O,1.8976390563509238,1.8130052481237393,1.9502219213171237,48
Gr/CuO,C–C,1.4238676753714485,1.4134669149023438,1.4295818925945887,45
