System,intermediate,dEads_eV
CuO,COOH,0.5854865837097167
CuO,CO,0.7226138305664063
CuO,CHO,0.5406895256042481
CuO,CH2O,0.03545223236083983
CuO,CH3O,0.2952930641174317
AgO,COOH,0.8922187614440917
AgO,CO,1.0197940063476563
AgO,CHO,0.8321018791198731
AgO,CH2O,0.08766780853271483
AgO,CH3O,0.5238697242736817
