System,U_L (V),PDS,eta (V),Ea_PDS (eV),E_CB (V NHE),Eg (eV)
Gr/AgO,-2.2375,*CO+H2O,2.2215,2.975,0.44,1.7
Gr/CuO,-2.2163,*CO+H2O,2.2003,2.933,0.11,2.4
