Graphene,-3.737,-2.413,0.000,
GrapheneAg10,-0.488,-1.783,-3.166,
GrapheneCu10,-0.825,-1.817,-1.678,
GrapheneCu7,-1.207,-1.997,-1.559,
GrapheneCuO,-1.493,-2.258,-2.285,
rGO-AgO,-0.650,-2.052,-3.698,
